GB	FGN
GB40134	FBgn0000244
GB40135	FBgn0030815
GB40136	FBgn0031248
GB40137	FBgn0031248
GB40138	FBgn0031248
GB40139	FBgn0002936
GB40140	FBgn0031993
GB40141	FBgn0038738
GB40142	FBgn0002573
GB40143	NA
GB40144	NA
GB40145	FBgn0031257
GB40146	FBgn0035155
GB40147	FBgn0031375
GB40148	FBgn0032801
GB40149	NA
GB40150	FBgn0262477
GB40151	FBgn0040285
GB40153	NA
GB40154	NA
GB40155	NA
GB40156	NA
GB40157	FBgn0037934
GB40158	NA
GB40159	NA
GB40160	NA
GB40161	NA
GB40162	FBgn0030662
GB40163	FBgn0004429
GB40164	FBgn0004429
GB40165	NA
GB40166	NA
GB40167	NA
GB40168	NA
GB40169	FBgn0033058
GB40170	NA
GB40179	NA
GB40180	FBgn0036327
GB40182	NA
GB40183	FBgn0030715
GB40184	NA
GB40185	FBgn0030715
GB40186	FBgn0030715
GB40187	FBgn0030715
GB40188	FBgn0030715
GB40189	FBgn0030715
GB40190	FBgn0030715
GB40191	NA
GB40192	NA
GB40193	NA
GB40194	NA
GB40195	NA
GB40196	NA
GB40197	FBgn0030715
GB40198	FBgn0026385
GB40199	NA
GB40200	NA
GB40201	NA
GB40202	NA
GB40203	FBgn0051028
GB40204	FBgn0262955
GB40205	FBgn0262955
GB40206	FBgn0030466
GB40207	FBgn0021750
GB40208	FBgn0038666
GB40209	FBgn0010433
GB40210	NA
GB40211	FBgn0038446
GB40212	FBgn0051004
GB40213	NA
GB40214	NA
GB40216	NA
GB40217	FBgn0025815
GB40218	NA
GB40219	NA
GB40221	FBgn0039465
GB40222	FBgn0004107
GB40223	NA
GB40224	NA
GB40225	FBgn0051057
GB40226	NA
GB40227	NA
GB40228	NA
GB40229	NA
GB40230	NA
GB40231	FBgn0259244
GB40232	FBgn0040308
GB40233	NA
GB40234	NA
GB40237	FBgn0001247
GB40238	FBgn0021944
GB40239	FBgn0037241
GB40240	FBgn0002773
GB40241	FBgn0002862
GB40242	NA
GB40243	NA
GB40246	NA
GB40248	FBgn0000473
GB40250	NA
GB40251	FBgn0003396
GB40252	FBgn0262954
GB40253	NA
GB40258	NA
GB40259	FBgn0039965
GB40261	FBgn0085638
GB40262	NA
GB40263	NA
GB40264	NA
GB40265	FBgn0022361
GB40266	NA
GB40267	FBgn0263863
GB40268	NA
GB40269	FBgn0010926
GB40270	NA
GB40271	FBgn0030122
GB40273	FBgn0039039
GB40274	NA
GB40277	NA
GB40278	FBgn0023537
GB40279	NA
GB40280	FBgn0027580
GB40281	NA
GB40282	FBgn0259227
GB40283	FBgn0036279
GB40284	FBgn0000473
GB40285	FBgn0000473
GB40286	FBgn0000473
GB40287	FBgn0000473
GB40288	FBgn0000473
GB40289	FBgn0036848
GB40291	NA
GB40292	NA
GB40293	NA
GB40294	NA
GB40296	FBgn0038640
GB40297	NA
GB40298	NA
GB40299	NA
GB40300	NA
GB40301	FBgn0030525
GB40302	FBgn0250906
GB40303	FBgn0030710
GB40304	NA
GB40305	FBgn0039331
GB40306	NA
GB40307	FBgn0004855
GB40308	FBgn0036306
GB40309	FBgn0032407
GB40310	FBgn0039908
GB40311	FBgn0085257
GB40312	FBgn0032955
GB40313	NA
GB40314	NA
GB40315	NA
GB40316	FBgn0005631
GB40317	NA
GB40318	NA
GB40319	NA
GB40320	NA
GB40321	NA
GB40324	NA
GB40326	NA
GB40327	FBgn0003285
GB40328	NA
GB40329	NA
GB40330	NA
GB40331	NA
GB40333	FBgn0040324
GB40334	NA
GB40335	FBgn0039774
GB40336	FBgn0039774
GB40337	FBgn0038139
GB40338	FBgn0038673
GB40339	FBgn0036125
GB40340	NA
GB40341	FBgn0046222
GB40342	FBgn0028274
GB40343	FBgn0040397
GB40344	FBgn0039655
GB40345	NA
GB40346	NA
GB40347	NA
GB40348	FBgn0015589
GB40349	FBgn0025336
GB40350	FBgn0035229
GB40351	NA
GB40352	NA
GB40353	NA
GB40354	NA
GB40355	FBgn0034084
GB40356	FBgn0026721
GB40357	FBgn0025681
GB40358	FBgn0024985
GB40359	FBgn0023511
GB40360	FBgn0261609
GB40361	FBgn0260012
GB40362	FBgn0025832
GB40363	FBgn0086698
GB40364	FBgn0032361
GB40365	FBgn0034496
GB40366	NA
GB40367	NA
GB40368	NA
GB40369	NA
GB40370	NA
GB40372	NA
GB40373	NA
GB40375	NA
GB40377	NA
GB40378	NA
GB40379	NA
GB40381	FBgn0036816
GB40382	FBgn0041243
GB40384	NA
GB40385	FBgn0003209
GB40386	FBgn0036816
GB40387	FBgn0028926
GB40388	FBgn0260946
GB40390	NA
GB40391	NA
GB40392	FBgn0034275
GB40393	NA
GB40394	NA
GB40395	FBgn0045866
GB40396	NA
GB40397	FBgn0031832
GB40398	FBgn0033315
GB40399	FBgn0260858
GB40400	FBgn0028484
GB40401	FBgn0028484
GB40403	NA
GB40405	NA
GB40406	NA
GB40407	FBgn0038402
GB40408	NA
GB40409	FBgn0085415
GB40410	FBgn0034494
GB40411	FBgn0017448
GB40412	FBgn0051475
GB40413	NA
GB40414	FBgn0032296
GB40415	NA
GB40416	FBgn0003900
GB40417	NA
GB40418	NA
GB40419	NA
GB40420	FBgn0039883
GB40421	NA
GB40422	NA
GB40423	FBgn0040634
GB40424	NA
GB40425	NA
GB40426	NA
GB40427	FBgn0086384
GB40428	FBgn0030891
GB40429	FBgn0015790
GB40430	NA
GB40431	FBgn0037513
GB40432	NA
GB40433	NA
GB40434	FBgn0030104
GB40435	NA
GB40436	FBgn0023167
GB40437	NA
GB40438	FBgn0039771
GB40439	FBgn0039770
GB40440	FBgn0035317
GB40441	FBgn0035444
GB40442	FBgn0000153
GB40443	NA
GB40444	FBgn0034543
GB40445	FBgn0031918
GB40446	FBgn0035025
GB40447	FBgn0033869
GB40448	FBgn0029785
GB40449	NA
GB40450	NA
GB40451	FBgn0030478
GB40452	FBgn0028538
GB40453	FBgn0033155
GB40454	FBgn0032321
GB40456	FBgn0031038
GB40457	FBgn0039830
GB40459	FBgn0031282
GB40460	FBgn0033879
GB40461	FBgn0005585
GB40462	FBgn0040773
GB40463	FBgn0031948
GB40464	NA
GB40466	FBgn0030672
GB40467	FBgn0038515
GB40468	NA
GB40469	NA
GB40470	NA
GB40471	NA
GB40472	NA
GB40473	FBgn0027872
GB40474	NA
GB40475	NA
GB40477	NA
GB40478	FBgn0260753
GB40479	FBgn0032819
GB40480	FBgn0023083
GB40481	FBgn0039429
GB40483	FBgn0034959
GB40485	NA
GB40486	NA
GB40489	FBgn0019957
GB40490	FBgn0032516
GB40491	FBgn0034029
GB40492	FBgn0030616
GB40493	FBgn0030481
GB40494	NA
GB40495	NA
GB40496	NA
GB40497	NA
GB40498	FBgn0053087
GB40500	FBgn0034110
GB40501	NA
GB40502	NA
GB40503	FBgn0032350
GB40504	NA
GB40505	NA
GB40506	NA
GB40507	FBgn0261535
GB40508	FBgn0034804
GB40509	FBgn0032870
GB40510	NA
GB40511	NA
GB40512	NA
GB40513	FBgn0051120
GB40514	FBgn0035243
GB40515	FBgn0030735
GB40516	FBgn0030294
GB40517	FBgn0029708
GB40519	FBgn0032741
GB40520	NA
GB40521	FBgn0028904
GB40522	NA
GB40523	NA
GB40524	NA
GB40525	NA
GB40526	NA
GB40527	NA
GB40529	NA
GB40530	NA
GB40531	NA
GB40532	NA
GB40533	NA
GB40534	NA
GB40535	FBgn0031357
GB40536	NA
GB40537	NA
GB40538	FBgn0021995
GB40539	FBgn0019936
GB40540	FBgn0033916
GB40541	FBgn0033911
GB40542	NA
GB40543	FBgn0028579
GB40544	NA
GB40545	FBgn0039861
GB40546	NA
GB40547	NA
GB40548	NA
GB40549	NA
GB40550	NA
GB40552	NA
GB40553	NA
GB40554	FBgn0010315
GB40555	FBgn0036671
GB40556	FBgn0027524
GB40558	FBgn0030341
GB40559	FBgn0050291
GB40560	FBgn0031054
GB40561	FBgn0085260
GB40562	NA
GB40563	FBgn0027081
GB40564	FBgn0033015
GB40565	NA
GB40566	FBgn0035280
GB40567	FBgn0002926
GB40572	NA
GB40573	NA
GB40574	FBgn0086532
GB40575	NA
GB40576	FBgn0000100
GB40577	FBgn0040319
GB40578	FBgn0028703
GB40580	FBgn0036570
GB40581	NA
GB40582	NA
GB40583	NA
GB40584	NA
GB40585	NA
GB40586	NA
GB40587	NA
GB40589	FBgn0032200
GB40590	FBgn0031766
GB40591	FBgn0039930
GB40592	FBgn0261458
GB40593	NA
GB40594	FBgn0261545
GB40595	FBgn0029937
GB40596	NA
GB40597	NA
GB40598	FBgn0036279
GB40599	FBgn0034567
GB40600	NA
GB40601	NA
GB40602	NA
GB40603	NA
GB40604	NA
GB40605	NA
GB40606	NA
GB40607	NA
GB40608	NA
GB40609	NA
GB40610	NA
GB40611	FBgn0015550
GB40612	NA
GB40613	NA
GB40614	FBgn0035245
GB40615	FBgn0039178
GB40616	NA
GB40617	NA
GB40618	FBgn0010423
GB40619	FBgn0010423
GB40620	NA
GB40621	NA
GB40622	NA
GB40623	NA
GB40624	FBgn0259247
GB40625	FBgn0004575
GB40626	FBgn0004575
GB40627	NA
GB40629	FBgn0261928
GB40630	NA
GB40631	NA
GB40632	NA
GB40633	NA
GB40634	NA
GB40635	FBgn0000032
GB40636	NA
GB40637	FBgn0039136
GB40638	FBgn0039136
GB40639	NA
GB40640	NA
GB40641	NA
GB40642	NA
GB40643	NA
GB40644	NA
GB40645	NA
GB40646	NA
GB40647	NA
GB40648	FBgn0001624
GB40649	NA
GB40650	NA
GB40651	NA
GB40652	FBgn0037026
GB40653	FBgn0032518
GB40654	FBgn0011274
GB40655	FBgn0037009
GB40656	FBgn0011823
GB40657	NA
GB40658	NA
GB40659	NA
GB40660	NA
GB40661	NA
GB40662	NA
GB40663	FBgn0032196
GB40664	NA
GB40665	NA
GB40666	NA
GB40667	NA
GB40668	NA
GB40669	NA
GB40670	FBgn0020294
GB40671	NA
GB40672	FBgn0023508
GB40673	FBgn0030737
GB40674	FBgn0052344
GB40676	FBgn0004373
GB40677	NA
GB40678	FBgn0036814
GB40679	NA
GB40680	NA
GB40681	NA
GB40682	NA
GB40683	NA
GB40684	NA
GB40685	NA
GB40686	FBgn0032033
GB40687	NA
GB40688	NA
GB40689	NA
GB40690	FBgn0259743
GB40691	NA
GB40692	NA
GB40693	NA
GB40694	FBgn0037153
GB40695	NA
GB40696	NA
GB40697	NA
GB40698	NA
GB40699	NA
GB40700	FBgn0025879
GB40701	FBgn0037796
GB40702	NA
GB40703	FBgn0036715
GB40704	FBgn0034566
GB40705	FBgn0030467
GB40706	NA
GB40707	NA
GB40708	FBgn0029506
GB40709	NA
GB40710	FBgn0035388
GB40711	FBgn0035232
GB40712	FBgn0032916
GB40713	NA
GB40714	NA
GB40715	FBgn0031430
GB40716	NA
GB40717	FBgn0026149
GB40718	FBgn0020653
GB40719	NA
GB40720	FBgn0033029
GB40722	FBgn0260222
GB40723	FBgn0050290
GB40724	NA
GB40726	FBgn0036762
GB40727	FBgn0030670
GB40728	FBgn0028944
GB40730	FBgn0037324
GB40731	FBgn0037326
GB40732	NA
GB40733	FBgn0039150
GB40734	NA
GB40735	FBgn0000064
GB40737	NA
GB40738	NA
GB40739	NA
GB40740	FBgn0263257
GB40741	FBgn0052133
GB40743	NA
GB40744	FBgn0014024
GB40745	FBgn0034913
GB40746	FBgn0029174
GB40747	NA
GB40748	FBgn0030882
GB40749	FBgn0038626
GB40750	FBgn0004419
GB40751	FBgn0015399
GB40752	NA
GB40754	NA
GB40755	NA
GB40756	NA
GB40757	NA
GB40758	NA
GB40759	FBgn0043841
GB40760	FBgn0011708
GB40761	NA
GB40762	NA
GB40763	NA
GB40764	NA
GB40765	FBgn0036305
GB40766	NA
GB40767	FBgn0036759
GB40768	NA
GB40769	FBgn0026268
GB40770	FBgn0026268
GB40771	FBgn0033763
GB40772	NA
GB40773	FBgn0030485
GB40774	FBgn0029798
GB40775	FBgn0031392
GB40776	NA
GB40777	FBgn0036213
GB40778	FBgn0024994
GB40779	FBgn0023477
GB40780	FBgn0026400
GB40781	FBgn0032042
GB40782	FBgn0022069
GB40783	FBgn0003074
GB40784	FBgn0034141
GB40785	FBgn0037465
GB40787	NA
GB40788	NA
GB40789	NA
GB40791	NA
GB40792	NA
GB40793	NA
GB40794	FBgn0028400
GB40795	FBgn0011586
GB40796	NA
GB40797	NA
GB40798	FBgn0028554
GB40799	NA
GB40800	FBgn0039172
GB40801	FBgn0031601
GB40802	FBgn0029736
GB40803	NA
GB40804	FBgn0029820
GB40805	FBgn0031717
GB40806	NA
GB40807	NA
GB40808	NA
GB40809	FBgn0001134
GB40810	FBgn0035805
GB40811	NA
GB40812	NA
GB40814	NA
GB40815	NA
GB40816	FBgn0031842
GB40817	NA
GB40818	FBgn0086693
GB40819	NA
GB40820	NA
GB40821	NA
GB40822	NA
GB40823	FBgn0004649
GB40824	FBgn0014870
GB40827	NA
GB40828	FBgn0023534
GB40829	NA
GB40830	FBgn0085599
GB40831	NA
GB40833	FBgn0039149
GB40834	NA
GB40836	NA
GB40837	FBgn0037323
GB40838	NA
GB40839	NA
GB40841	NA
GB40842	FBgn0001112
GB40843	NA
GB40845	NA
GB40847	NA
GB40848	NA
GB40849	NA
GB40850	NA
GB40851	NA
GB40853	NA
GB40854	NA
GB40855	NA
GB40856	FBgn0035049
GB40857	FBgn0033438
GB40858	FBgn0032919
GB40859	FBgn0034240
GB40860	NA
GB40861	FBgn0030026
GB40862	FBgn0033085
GB40863	NA
GB40864	FBgn0032702
GB40865	NA
GB40866	FBgn0001216
GB40867	FBgn0034136
GB40868	FBgn0052190
GB40869	NA
GB40870	NA
GB40871	NA
GB40872	FBgn0029853
GB40873	FBgn0033687
GB40874	FBgn0027836
GB40875	FBgn0024733
GB40876	NA
GB40877	FBgn0021795
GB40878	FBgn0034598
GB40879	FBgn0033812
GB40880	FBgn0034641
GB40881	FBgn0011289
GB40882	FBgn0010265
GB40883	FBgn0033667
GB40884	FBgn0050467
GB40885	NA
GB40886	FBgn0037369
GB40887	FBgn0015324
GB40888	FBgn0034176
GB40890	FBgn0038577
GB40891	FBgn0030514
GB40892	FBgn0260392
GB40893	FBgn0260655
GB40894	FBgn0262115
GB40895	FBgn0028897
GB40896	NA
GB40901	FBgn0027873
GB40903	FBgn0033178
GB40904	FBgn0036207
GB40905	NA
GB40906	FBgn0011276
GB40907	FBgn0034067
GB40908	FBgn0034070
GB40909	FBgn0032476
GB40910	NA
GB40911	FBgn0003612
GB40912	NA
GB40913	NA
GB40914	NA
GB40915	NA
GB40916	FBgn0037736
GB40917	NA
GB40918	NA
GB40919	NA
GB40920	NA
GB40921	NA
GB40922	NA
GB40923	FBgn0000036
GB40925	FBgn0037554
GB40926	FBgn0010425
GB40928	NA
GB40929	NA
GB40930	NA
GB40931	FBgn0029710
GB40932	NA
GB40933	NA
GB40934	FBgn0033179
GB40935	FBgn0039636
GB40936	NA
GB40937	FBgn0085193
GB40938	FBgn0011818
GB40939	FBgn0034902
GB40940	NA
GB40941	FBgn0013307
GB40942	NA
GB40944	FBgn0034903
GB40945	FBgn0039420
GB40946	FBgn0260439
GB40947	FBgn0034136
GB40948	FBgn0031474
GB40949	NA
GB40950	NA
GB40951	NA
GB40952	NA
GB40953	NA
GB40954	NA
GB40955	FBgn0046114
GB40956	NA
GB40957	NA
GB40958	NA
GB40959	NA
GB40960	NA
GB40961	NA
GB40962	NA
GB40963	NA
GB40964	NA
GB40966	NA
GB40967	FBgn0005626
GB40968	NA
GB40969	FBgn0035711
GB40970	NA
GB40971	NA
GB40972	NA
GB40973	FBgn0004619
GB40975	FBgn0004244
GB40976	FBgn0001233
GB40977	FBgn0035121
GB40978	FBgn0029687
GB40979	NA
GB40980	FBgn0261914
GB40983	NA
GB40984	FBgn0015829
GB40985	NA
GB40986	FBgn0032420
GB40987	NA
GB40992	NA
GB40993	FBgn0038247
GB40994	FBgn0261053
GB40995	NA
GB40996	NA
GB40997	FBgn0015663
GB40998	NA
GB40999	NA
GB41000	NA
GB41001	NA
GB41002	FBgn0038118
GB41003	NA
GB41004	NA
GB41005	NA
GB41010	NA
GB41011	NA
GB41013	NA
GB41015	FBgn0029170
GB41016	NA
GB41018	FBgn0035141
GB41022	NA
GB41023	NA
GB41024	FBgn0030081
GB41025	FBgn0030854
GB41026	NA
GB41027	FBgn0036505
GB41028	FBgn0011211
GB41029	FBgn0030752
GB41030	FBgn0026777
GB41031	FBgn0039153
GB41032	FBgn0033738
GB41033	NA
GB41034	NA
GB41035	FBgn0050421
GB41036	FBgn0015558
GB41037	NA
GB41038	NA
GB41039	FBgn0029897
GB41041	NA
GB41042	NA
GB41043	FBgn0037679
GB41044	NA
GB41045	NA
GB41046	FBgn0023528
GB41047	FBgn0029974
GB41048	NA
GB41049	NA
GB41050	NA
GB41051	NA
GB41052	NA
GB41053	NA
GB41055	NA
GB41056	NA
GB41057	NA
GB41058	NA
GB41059	NA
GB41060	NA
GB41061	NA
GB41063	FBgn0017418
GB41064	NA
GB41065	FBgn0029896
GB41066	NA
GB41067	FBgn0010269
GB41068	FBgn0011787
GB41069	FBgn0031174
GB41070	NA
GB41071	NA
GB41072	NA
GB41073	FBgn0263199
GB41074	FBgn0035648
GB41075	FBgn0005536
GB41076	NA
GB41078	FBgn0053977
GB41079	FBgn0030011
GB41080	FBgn0032216
GB41081	NA
GB41082	FBgn0004603
GB41083	FBgn0037364
GB41084	FBgn0040007
GB41085	FBgn0034816
GB41086	NA
GB41091	NA
GB41093	NA
GB41094	NA
GB41095	NA
GB41096	NA
GB41097	FBgn0010425
GB41098	NA
GB41104	FBgn0027547
GB41107	NA
GB41115	FBgn0039380
GB41116	NA
GB41117	FBgn0031752
GB41118	FBgn0027843
GB41119	FBgn0033194
GB41120	NA
GB41121	NA
GB41122	NA
GB41123	NA
GB41126	NA
GB41127	FBgn0029896
GB41128	FBgn0035593
GB41129	FBgn0027539
GB41130	NA
GB41131	FBgn0036462
GB41132	NA
GB41133	NA
GB41134	FBgn0044871
GB41135	FBgn0011474
GB41136	FBgn0037926
GB41137	FBgn0037017
GB41138	FBgn0011656
GB41139	FBgn0035046
GB41140	FBgn0037377
GB41141	FBgn0030582
GB41142	FBgn0029906
GB41143	FBgn0037001
GB41145	NA
GB41146	FBgn0028292
GB41147	FBgn0015622
GB41148	FBgn0034231
GB41149	NA
GB41150	FBgn0004867
GB41151	FBgn0037102
GB41152	FBgn0030838
GB41153	FBgn0037019
GB41154	FBgn0038206
GB41155	NA
GB41156	FBgn0031064
GB41157	FBgn0010340
GB41158	NA
GB41159	FBgn0024920
GB41160	FBgn0061173
GB41161	FBgn0086447
GB41162	FBgn0038630
GB41163	FBgn0050338
GB41164	FBgn0028497
GB41165	FBgn0026206
GB41166	NA
GB41167	FBgn0004870
GB41168	FBgn0031100
GB41169	FBgn0034521
GB41170	NA
GB41171	FBgn0000405
GB41172	FBgn0000405
GB41173	NA
GB41174	FBgn0005410
GB41175	FBgn0035287
GB41176	FBgn0039270
GB41177	FBgn0083959
GB41178	FBgn0038447
GB41179	NA
GB41180	NA
GB41181	FBgn0061361
GB41182	FBgn0069977
GB41183	FBgn0004132
GB41184	FBgn0038531
GB41188	FBgn0039594
GB41189	FBgn0039773
GB41191	NA
GB41192	NA
GB41193	FBgn0051158
GB41195	FBgn0039463
GB41196	FBgn0023518
GB41197	NA
GB41198	FBgn0062442
GB41199	FBgn0028434
GB41201	NA
GB41202	NA
GB41203	FBgn0026077
GB41204	FBgn0015582
GB41205	FBgn0015582
GB41206	FBgn0051812
GB41207	FBgn0028694
GB41208	FBgn0026143
GB41209	NA
GB41210	FBgn0027358
GB41211	FBgn0086706
GB41212	NA
GB41213	FBgn0050441
GB41214	FBgn0053147
GB41215	NA
GB41217	NA
GB41218	NA
GB41220	FBgn0032147
GB41221	NA
GB41222	NA
GB41223	NA
GB41224	FBgn0026873
GB41225	FBgn0015872
GB41226	NA
GB41227	FBgn0027600
GB41228	NA
GB41230	FBgn0260971
GB41231	FBgn0038175
GB41232	FBgn0019686
GB41233	FBgn0000053
GB41234	FBgn0263027
GB41235	NA
GB41236	NA
GB41237	NA
GB41238	NA
GB41239	FBgn0034878
GB41240	FBgn0015872
GB41241	FBgn0033633
GB41242	FBgn0011584
GB41243	FBgn0052447
GB41244	FBgn0030761
GB41246	NA
GB41247	NA
GB41248	NA
GB41249	NA
GB41250	NA
GB41251	NA
GB41252	FBgn0025808
GB41254	NA
GB41255	FBgn0005677
GB41257	FBgn0033021
GB41258	FBgn0033017
GB41259	FBgn0033019
GB41260	NA
GB41261	NA
GB41262	NA
GB41263	FBgn0037884
GB41264	NA
GB41265	NA
GB41266	FBgn0259937
GB41267	FBgn0032595
GB41268	NA
GB41269	NA
GB41270	NA
GB41275	FBgn0028648
GB41276	FBgn0036520
GB41280	FBgn0039776
GB41281	NA
GB41282	FBgn0020299
GB41283	NA
GB41284	FBgn0050197
GB41285	FBgn0052536
GB41286	NA
GB41287	FBgn0034400
GB41288	NA
GB41289	FBgn0032421
GB41290	NA
GB41291	FBgn0029737
GB41292	FBgn0259985
GB41293	FBgn0014340
GB41294	FBgn0260771
GB41295	FBgn0031312
GB41296	NA
GB41297	FBgn0003861
GB41300	FBgn0010292
GB41301	FBgn0000083
GB41302	NA
GB41304	FBgn0027090
GB41305	FBgn0004913
GB41306	FBgn0000042
GB41308	FBgn0000042
GB41310	FBgn0000042
GB41311	FBgn0000042
GB41312	NA
GB41313	FBgn0036501
GB41314	FBgn0038295
GB41315	NA
GB41316	NA
GB41317	NA
GB41318	NA
GB41319	NA
GB41320	FBgn0003270
GB41321	NA
GB41322	NA
GB41324	NA
GB41325	NA
GB41326	NA
GB41328	NA
GB41329	NA
GB41330	NA
GB41331	NA
GB41332	FBgn0012037
GB41333	FBgn0030687
GB41334	FBgn0032771
GB41335	FBgn0031777
GB41336	NA
GB41337	NA
GB41338	FBgn0000032
GB41339	NA
GB41340	NA
GB41341	FBgn0030507
GB41342	FBgn0020633
GB41343	FBgn0263930
GB41344	NA
GB41345	FBgn0087013
GB41346	FBgn0035231
GB41347	FBgn0003041
GB41348	NA
GB41352	FBgn0259145
GB41353	NA
GB41354	NA
GB41355	NA
GB41356	FBgn0259145
GB41358	FBgn0000556
GB41359	FBgn0044030
GB41360	FBgn0003747
GB41361	FBgn0036575
GB41362	FBgn0011824
GB41363	FBgn0028686
GB41364	NA
GB41365	NA
GB41366	NA
GB41367	FBgn0033543
GB41368	NA
GB41369	FBgn0010501
GB41371	NA
GB41372	NA
GB41373	FBgn0005695
GB41374	NA
GB41376	FBgn0027654
GB41377	NA
GB41378	FBgn0036451
GB41385	NA
GB41386	FBgn0028670
GB41387	NA
GB41388	FBgn0001128
GB41389	NA
GB41390	FBgn0001128
GB41391	NA
GB41392	FBgn0001215
GB41394	NA
GB41395	NA
GB41396	NA
GB41397	FBgn0037546
GB41398	NA
GB41399	FBgn0031619
GB41400	NA
GB41401	FBgn0051064
GB41402	NA
GB41403	FBgn0031725
GB41405	NA
GB41406	FBgn0038435
GB41407	FBgn0031619
GB41408	FBgn0031619
GB41409	FBgn0031619
GB41410	NA
GB41411	FBgn0003267
GB41412	FBgn0083986
GB41413	FBgn0031479
GB41414	FBgn0051361
GB41415	NA
GB41416	NA
GB41417	FBgn0052372
GB41418	NA
GB41419	FBgn0030787
GB41420	NA
GB41421	NA
GB41422	FBgn0030241
GB41423	FBgn0002774
GB41424	FBgn0024187
GB41425	FBgn0024187
GB41426	NA
GB41427	FBgn0000261
GB41428	NA
GB41429	NA
GB41430	NA
GB41431	NA
GB41432	NA
GB41433	NA
GB41434	NA
GB41435	NA
GB41436	NA
GB41437	NA
GB41438	NA
GB41439	FBgn0003867
GB41440	NA
GB41441	FBgn0026076
GB41442	FBgn0029676
GB41443	NA
GB41444	FBgn0027330
GB41445	FBgn0000404
GB41446	FBgn0024814
GB41447	FBgn0036449
GB41448	FBgn0030685
GB41449	FBgn0038320
GB41450	FBgn0023097
GB41451	FBgn0011020
GB41452	FBgn0023517
GB41453	FBgn0023517
GB41454	FBgn0004648
GB41455	FBgn0027091
GB41456	NA
GB41457	NA
GB41458	NA
GB41459	NA
GB41460	NA
GB41461	NA
GB41462	NA
GB41463	NA
GB41464	FBgn0039938
GB41465	FBgn0031020
GB41466	NA
GB41467	NA
GB41468	NA
GB41469	FBgn0014029
GB41470	FBgn0036959
GB41471	NA
GB41472	FBgn0038057
GB41474	NA
GB41475	NA
GB41476	NA
GB41478	NA
GB41479	NA
GB41480	NA
GB41481	NA
GB41483	FBgn0001325
GB41484	FBgn0030474
GB41485	FBgn0037943
GB41486	FBgn0035421
GB41487	FBgn0036374
GB41488	FBgn0028343
GB41489	NA
GB41490	NA
GB41491	NA
GB41492	FBgn0035520
GB41493	NA
GB41494	NA
GB41495	FBgn0038181
GB41497	NA
GB41498	NA
GB41499	NA
GB41500	NA
GB41502	NA
GB41503	NA
GB41504	FBgn0005558
GB41505	FBgn0039075
GB41506	NA
GB41507	NA
GB41508	NA
GB41510	FBgn0035854
GB41512	NA
GB41513	NA
GB41514	NA
GB41515	NA
GB41516	FBgn0004865
GB41517	NA
GB41518	NA
GB41519	NA
GB41520	FBgn0001139
GB41521	FBgn0001139
GB41522	FBgn0027950
GB41523	FBgn0039920
GB41524	NA
GB41525	FBgn0039304
GB41526	NA
GB41527	NA
GB41529	NA
GB41530	FBgn0035328
GB41540	NA
