GB	Taxa
GB40682	Apoidea
GB40683	Hymenoptera
GB40684	Hymenoptera
GB40685	NA
GB40686	Insecta
GB40687	NA
GB40689	Insecta
GB40690	Insecta
GB40691	Insecta
GB40692	NA
GB40693	Insecta
GB40694	Insecta
GB40695	Apoidea
GB40696	Apoidea
GB40697	NA
GB40699	Hymenoptera
GB40700	Insecta
GB40701	Insecta
GB40702	NA
GB40703	Insecta
GB40704	Insecta
GB40705	Insecta
GB40706	Insecta
GB40707	Insecta
GB40708	Insecta
GB40711	Insecta
GB40712	Insecta
GB40713	Hymenoptera
GB40715	Insecta
GB40716	Insecta
GB40717	Insecta
GB40718	Insecta
GB40720	Insecta
GB40722	Insecta
GB40723	Insecta
GB40724	NA
GB40726	Insecta
GB40727	Insecta
GB40728	Insecta
GB40730	Insecta
GB40731	Insecta
GB40732	Hymenoptera
GB40733	Insecta
GB40734	Hymenoptera
GB40735	Insecta
GB40737	NA
GB40740	Insecta
GB40741	Insecta
GB40743	NA
GB40744	Insecta
GB40745	Insecta
GB40746	Insecta
GB40747	Insecta
GB40748	Insecta
GB40749	Insecta
GB40750	Insecta
GB40751	Insecta
GB40752	NA
GB40754	Apoidea
GB40755	NA
GB40756	NA
GB40757	NA
GB40758	NA
GB40759	Insecta
GB40760	Insecta
GB40763	Hymenoptera
GB40764	Insecta
GB40765	Insecta
GB40766	Insecta
GB40767	Insecta
GB40768	Hymenoptera
GB40769	Insecta
GB40770	Insecta
GB40771	Insecta
GB40773	Insecta
GB40774	Insecta
GB40775	Insecta
GB40776	NA
GB40777	Insecta
GB40778	Insecta
GB40779	Insecta
GB40780	Insecta
GB40781	Insecta
GB40782	Insecta
GB40783	Insecta
GB40784	Insecta
GB40785	Insecta
GB40787	NA
GB40788	Insecta
GB40789	Hymenoptera
GB40791	NA
GB40792	NA
GB40793	NA
GB40794	Insecta
GB40796	Insecta
GB40797	Insecta
GB40798	Insecta
GB40799	Insecta
GB40800	Insecta
GB40801	Insecta
GB40802	Insecta
GB40803	Hymenoptera
GB40804	Insecta
GB40805	Insecta
GB40806	Insecta
GB40807	Insecta
GB40808	Insecta
GB40809	Insecta
GB40810	Insecta
GB40812	NA
GB40814	NA
GB40815	NA
GB40816	Insecta
GB40817	NA
GB40818	Insecta
GB40819	Hymenoptera
GB40821	Hymenoptera
GB40822	NA
GB40823	Insecta
GB40824	Insecta
GB40827	NA
GB40828	Insecta
GB40829	NA
GB40830	Insecta
GB40831	Insecta
GB40833	Insecta
GB40834	NA
GB40836	Hymenoptera
GB40837	Insecta
GB40838	Insecta
GB40839	Hymenoptera
GB40841	NA
GB40842	Insecta
GB40843	Insecta
GB40845	Insecta
GB40848	Apoidea
GB40849	NA
GB40850	NA
GB40853	Hymenoptera
GB40854	NA
GB40855	NA
GB40856	Insecta
GB40857	Insecta
GB40858	Insecta
GB40859	Insecta
GB40860	Hymenoptera
GB40861	Insecta
GB40862	Insecta
GB40864	Insecta
GB40865	Apoidea
GB40866	Insecta
GB40867	Insecta
GB40868	Insecta
GB40869	NA
GB40870	Insecta
GB40871	Insecta
GB40872	Insecta
GB40873	Insecta
GB40874	Insecta
GB40875	Insecta
GB40876	Insecta
GB40877	Insecta
GB40878	Insecta
GB40879	Insecta
GB40880	Insecta
GB40881	Insecta
GB40882	Insecta
GB40883	Insecta
GB40884	Insecta
GB40885	Insecta
GB40886	Insecta
GB40887	Insecta
GB40888	Insecta
GB40890	Insecta
GB40891	Insecta
GB40893	Insecta
GB40894	Insecta
GB40895	Insecta
GB40896	Hymenoptera
GB40901	Insecta
GB40903	Insecta
GB40904	Insecta
GB40905	Insecta
GB40906	Insecta
GB40907	Insecta
GB40908	Insecta
GB40909	Insecta
GB40911	Insecta
GB40914	NA
GB40915	NA
GB40916	Insecta
GB40917	NA
GB40918	NA
GB40919	NA
GB40920	NA
GB40921	NA
GB40922	NA
GB40923	Insecta
GB40926	Insecta
GB40928	Insecta
GB40929	Insecta
GB40930	NA
GB40931	Insecta
GB40932	Hymenoptera
GB40933	Hymenoptera
GB40934	Insecta
GB40935	Insecta
GB40937	Insecta
GB40938	Insecta
GB40939	Insecta
GB40941	Insecta
GB40942	NA
GB40944	Insecta
GB40945	Insecta
GB40946	Insecta
GB40948	Insecta
GB40949	Insecta
GB40950	NA
GB40952	NA
GB40953	NA
GB40955	Insecta
GB40958	NA
GB40959	NA
GB40960	Insecta
GB40961	NA
GB40963	Insecta
GB40964	NA
GB40966	Apoidea
GB40967	Insecta
GB40968	Hymenoptera
GB40969	Insecta
GB40970	NA
GB40972	Hymenoptera
GB40973	Insecta
GB40975	Insecta
GB40976	Insecta
GB40977	Insecta
GB40978	Insecta
GB40979	NA
GB40980	Insecta
GB40983	Insecta
GB40984	Insecta
GB40986	Insecta
GB40993	Insecta
GB40994	Insecta
GB40996	Insecta
GB40997	Insecta
GB40998	Hymenoptera
GB40999	Insecta
GB41000	Hymenoptera
GB41001	NA
GB41002	Insecta
GB41003	Hymenoptera
GB41005	NA
GB41010	Hymenoptera
GB41018	Insecta
GB41024	Insecta
GB41025	Insecta
GB41026	Apis
GB41027	Insecta
GB41028	Insecta
GB41029	Insecta
GB41030	Insecta
GB41031	Insecta
GB41032	Insecta
GB41033	Insecta
GB41034	Apoidea
GB41035	Insecta
GB41036	Insecta
GB41037	Insecta
GB41038	Hymenoptera
GB41039	Insecta
GB41041	NA
GB41042	Insecta
GB41043	Insecta
GB41045	Insecta
GB41046	Insecta
GB41047	Insecta
GB41048	Hymenoptera
GB41049	Hymenoptera
GB41050	Hymenoptera
GB41051	NA
GB41052	Insecta
GB41053	NA
GB41056	Insecta
GB41059	NA
GB41060	NA
GB41063	Insecta
GB41064	NA
GB41065	Insecta
GB41066	Hymenoptera
GB41067	Insecta
GB41068	Insecta
GB41069	Insecta
GB41070	NA
GB41073	Insecta
GB41074	Insecta
GB41075	Insecta
GB41076	Insecta
GB41078	Insecta
GB41079	Insecta
GB41080	Insecta
GB41082	Insecta
GB41083	Insecta
GB41084	Insecta
GB41085	Insecta
GB41093	Hymenoptera
GB41094	Insecta
GB41095	NA
GB41096	Hymenoptera
GB41097	Insecta
GB41115	Insecta
GB41117	Insecta
GB41118	Insecta
GB41119	Insecta
GB41121	Insecta
GB41122	Insecta
GB41123	Hymenoptera
GB41126	Hymenoptera
GB41127	Insecta
GB41128	Insecta
GB41129	Insecta
GB41130	NA
GB41131	Insecta
GB41132	Hymenoptera
GB41133	Hymenoptera
GB41134	Insecta
GB41135	Insecta
GB41136	Insecta
GB41137	Insecta
GB41138	Insecta
GB41139	Insecta
GB41140	Insecta
GB41141	Insecta
GB41142	Insecta
GB41143	Insecta
GB41145	NA
GB41146	Insecta
GB41147	Insecta
GB41148	Insecta
GB41149	Hymenoptera
GB41150	Insecta
GB41151	Insecta
GB41152	Insecta
GB41153	Insecta
GB41154	Insecta
GB41156	Insecta
GB41157	Insecta
GB41158	Insecta
GB41159	Insecta
GB41160	Insecta
GB41161	Insecta
GB41162	Insecta
GB41163	Insecta
GB41164	Insecta
GB41165	Insecta
GB41167	Insecta
GB41168	Insecta
GB41169	Insecta
GB41170	NA
GB41171	Insecta
GB41172	Insecta
GB41173	Hymenoptera
GB41174	Insecta
GB41175	Insecta
GB41176	Insecta
GB41177	Insecta
GB41178	Insecta
GB41179	Hymenoptera
GB41180	Insecta
GB41181	Insecta
GB41182	Insecta
GB41183	Insecta
GB41184	Insecta
GB41188	Insecta
GB41189	Insecta
GB41191	Insecta
GB41192	Insecta
GB41193	Insecta
GB41195	Insecta
GB41196	Insecta
GB41197	Hymenoptera
GB41198	Insecta
GB41199	Insecta
GB41201	NA
GB41202	Insecta
GB41203	Insecta
GB41204	Insecta
GB41205	Insecta
GB41206	Insecta
GB41207	Insecta
GB41208	Insecta
GB41209	NA
GB41210	Insecta
GB41211	Insecta
GB41212	Hymenoptera
GB41213	Insecta
GB41214	Insecta
GB41215	Insecta
GB41217	NA
GB41220	Insecta
GB41222	Insecta
GB41223	NA
GB41224	Insecta
GB41225	Insecta
GB41226	Hymenoptera
GB41227	Insecta
GB41228	NA
GB41230	Insecta
GB41231	Insecta
GB41232	Insecta
GB41233	Insecta
GB41234	Insecta
GB41235	Hymenoptera
GB41236	Hymenoptera
GB41237	NA
GB41238	NA
GB41239	Insecta
GB41240	Insecta
GB41241	Insecta
GB41242	Insecta
GB41243	Insecta
GB41244	Insecta
GB41246	Hymenoptera
GB41248	NA
GB41249	Hymenoptera
GB41250	Insecta
GB41252	Insecta
GB41254	NA
GB41255	Insecta
GB41257	Insecta
GB41258	Insecta
GB41259	Insecta
GB41260	Hymenoptera
GB41261	Hymenoptera
GB41262	Hymenoptera
GB41263	Insecta
GB41264	Insecta
GB41265	Insecta
GB41266	Insecta
GB41267	Insecta
GB41268	NA
GB41269	NA
GB41270	Insecta
GB41280	Insecta
GB41281	Hymenoptera
GB41282	Insecta
GB41283	Insecta
GB41284	Insecta
GB41285	Insecta
GB41287	Insecta
GB41288	Insecta
GB41289	Insecta
GB41290	Hymenoptera
GB41291	Insecta
GB41292	Insecta
GB41293	Insecta
GB41294	Insecta
GB41295	Insecta
GB41296	Hymenoptera
GB41297	Insecta
GB41300	Insecta
GB41301	Insecta
GB41302	Hymenoptera
GB41304	Insecta
GB41305	Insecta
GB41310	Insecta
GB41311	Insecta
GB41312	Hymenoptera
GB41313	Insecta
GB41314	Insecta
GB41315	Hymenoptera
GB41316	Apoidea
GB41317	Insecta
GB41318	NA
GB41319	NA
GB41320	Insecta
GB41321	NA
GB41324	NA
GB41325	NA
GB41326	Apoidea
GB41329	NA
GB41330	Insecta
GB41331	NA
GB41332	Insecta
GB41333	Insecta
GB41334	Insecta
GB41335	Insecta
GB41336	Insecta
GB41337	Hymenoptera
GB41338	Insecta
GB41339	Apoidea
GB41340	Insecta
GB41341	Insecta
GB41342	Insecta
GB41343	Insecta
GB41344	Hymenoptera
GB41345	Insecta
GB41346	Insecta
GB41347	Insecta
GB41352	Insecta
GB41353	NA
GB41354	NA
GB41356	Insecta
GB41358	Insecta
GB41359	Insecta
GB41360	Insecta
GB41361	Insecta
GB41362	Insecta
GB41363	Insecta
GB41364	Insecta
GB41366	Hymenoptera
GB41367	Insecta
GB41368	Insecta
GB41369	Insecta
GB41372	Insecta
GB41373	Insecta
GB41374	Hymenoptera
GB41376	Insecta
GB41377	NA
GB41378	Insecta
GB41385	NA
GB41386	Insecta
GB41388	Insecta
GB41389	Hymenoptera
GB41390	Insecta
GB41391	Insecta
GB41392	Insecta
GB41395	NA
GB41396	NA
GB41397	Insecta
GB41398	Insecta
GB41399	Insecta
GB41400	Hymenoptera
GB41401	Insecta
GB41402	NA
GB41403	Insecta
GB41405	Hymenoptera
GB41406	Insecta
GB41407	Insecta
GB41408	Insecta
GB41409	Insecta
GB41410	Insecta
GB41411	Insecta
GB41412	Insecta
GB41413	Insecta
GB41414	Insecta
GB41415	NA
GB41417	Insecta
GB41418	Hymenoptera
GB41419	Insecta
GB41420	NA
GB41421	NA
GB41422	Insecta
GB41423	Insecta
GB41424	Insecta
GB41425	Insecta
GB41426	NA
GB41427	Insecta
GB41428	Hymenoptera
GB41430	Insecta
GB41431	NA
GB41432	NA
GB41433	NA
GB41434	NA
GB41435	NA
GB41436	NA
GB41437	NA
GB41439	Insecta
GB41442	Insecta
GB41443	Hymenoptera
GB41444	Insecta
GB41445	Insecta
GB41446	Insecta
GB41447	Insecta
GB41448	Insecta
GB41449	Insecta
GB41450	Insecta
GB41451	Insecta
GB41452	Insecta
GB41453	Insecta
GB41454	Insecta
GB41455	Insecta
GB41457	NA
GB41458	NA
GB41459	Insecta
GB41460	NA
GB41461	NA
GB41462	NA
GB41463	Insecta
GB41464	Insecta
GB41465	Insecta
GB41466	Insecta
GB41467	Insecta
GB41469	Insecta
GB41470	Insecta
GB41472	Insecta
GB41475	NA
GB41476	NA
GB41478	NA
GB41479	NA
GB41480	NA
GB41481	NA
GB41484	Insecta
GB41485	Insecta
GB41486	Insecta
GB41487	Insecta
GB41488	Insecta
GB41489	Insecta
GB41490	Insecta
GB41491	Insecta
GB41492	Insecta
GB41493	Hymenoptera
GB41494	Insecta
GB41495	Insecta
GB41497	NA
GB41499	Insecta
GB41502	NA
GB41503	NA
GB41505	Insecta
GB41506	NA
GB41507	Insecta
GB41508	NA
GB41510	Insecta
GB41513	Hymenoptera
GB41514	NA
GB41516	Insecta
GB41517	Insecta
GB41519	Insecta
GB41520	Insecta
GB41521	Insecta
GB41522	Insecta
GB41523	Insecta
GB41524	NA
GB41525	Insecta
GB41527	NA
GB41540	Hymenoptera
GB41541	NA
GB41542	NA
GB41543	Insecta
GB41544	Insecta
GB41545	Insecta
GB41546	NA
GB41547	Insecta
GB41549	Insecta
GB41550	NA
GB41552	Insecta
GB41553	Insecta
GB41556	NA
GB41557	NA
GB41558	NA
GB41559	NA
GB41560	Hymenoptera
GB41562	Insecta
GB41563	NA
GB41564	Hymenoptera
GB41565	NA
GB41567	NA
GB41568	Insecta
GB41569	Insecta
GB41575	NA
GB41576	NA
GB41580	Insecta
GB41581	NA
GB41584	Insecta
GB41589	Insecta
GB41590	Insecta
GB41591	Insecta
GB41592	Insecta
GB41598	Insecta
GB41599	Hymenoptera
GB41600	Insecta
GB41601	Insecta
GB41602	Insecta
GB41603	Insecta
GB41604	Insecta
GB41606	Insecta
GB41607	Insecta
GB41608	Insecta
GB41609	Insecta
GB41610	Insecta
GB41611	NA
GB41613	NA
GB41615	NA
GB41616	Insecta
GB41617	Insecta
GB41618	Insecta
GB41619	Hymenoptera
GB41620	NA
GB41621	Insecta
GB41622	Insecta
GB41623	Insecta
GB41624	Insecta
GB41625	Insecta
GB41626	Hymenoptera
GB41627	Insecta
GB41628	Insecta
GB41629	Insecta
GB41630	Hymenoptera
GB41631	Insecta
GB41632	Insecta
GB41633	Insecta
GB41634	Insecta
GB41635	Hymenoptera
GB41636	NA
GB41637	Apoidea
GB41638	Hymenoptera
GB41639	Insecta
GB41640	Insecta
GB41641	Insecta
GB41642	Hymenoptera
GB41643	Insecta
GB41645	Insecta
GB41646	Insecta
GB41647	Insecta
GB41648	Insecta
GB41649	Insecta
GB41650	Insecta
GB41651	Insecta
GB41652	NA
GB41653	Insecta
GB41654	Insecta
GB41656	Insecta
GB41657	Insecta
GB41658	Hymenoptera
GB41659	Insecta
GB41660	Insecta
GB41661	Insecta
GB41662	Insecta
GB41663	Insecta
GB41664	Insecta
GB41665	Hymenoptera
GB41667	Insecta
GB41668	Insecta
GB41669	Insecta
GB41670	Insecta
GB41671	Insecta
GB41672	Insecta
GB41673	NA
GB41674	Insecta
GB41676	NA
GB41677	Insecta
GB41679	Insecta
GB41680	Insecta
GB41681	Insecta
GB41684	Insecta
GB41686	Insecta
GB41688	Insecta
GB41689	Insecta
GB41690	Insecta
GB41691	Insecta
GB41692	Insecta
GB41693	Insecta
GB41694	Insecta
GB41695	Insecta
GB41697	Insecta
GB41698	Hymenoptera
GB41699	Hymenoptera
GB41700	Insecta
GB41701	Insecta
GB41703	Hymenoptera
GB41704	Insecta
GB41706	NA
GB41707	Insecta
GB41708	Insecta
GB41710	Insecta
GB41711	Insecta
GB41712	Hymenoptera
GB41713	Insecta
GB41714	Insecta
GB41715	Insecta
GB41716	Insecta
GB41718	Insecta
GB41719	Insecta
GB41720	Insecta
GB41721	Insecta
GB41722	Hymenoptera
GB41723	Insecta
GB41724	Insecta
GB41726	Hymenoptera
GB41727	Insecta
GB41730	Hymenoptera
GB41731	Insecta
GB41732	Insecta
GB41733	Insecta
GB41734	Insecta
GB41735	Insecta
GB41736	Hymenoptera
GB41737	Insecta
GB41738	Insecta
GB41739	Hymenoptera
GB41740	Insecta
GB41741	Insecta
GB41742	Insecta
GB41743	Apoidea
GB41744	Insecta
GB41745	Insecta
GB41746	Insecta
GB41747	Insecta
GB41748	NA
GB41749	Insecta
GB41750	NA
GB41751	Insecta
GB41753	Insecta
GB41754	Insecta
GB41755	Insecta
GB41756	Insecta
GB41757	Insecta
GB41758	Insecta
GB41759	Insecta
GB41760	Insecta
GB41761	Insecta
GB41763	NA
GB41765	NA
GB41766	NA
GB41768	Insecta
GB41769	Insecta
GB41770	Insecta
GB41771	Insecta
GB41772	Hymenoptera
GB41773	Hymenoptera
GB41774	Insecta
GB41775	Insecta
GB41776	NA
GB41777	NA
GB41778	Insecta
GB41779	Insecta
GB41780	Hymenoptera
GB41781	Insecta
GB41782	Insecta
GB41783	Insecta
GB41784	NA
GB41785	Insecta
GB41786	Hymenoptera
GB41787	NA
GB41788	Insecta
GB41792	Insecta
GB41793	Insecta
GB41794	Insecta
GB41795	Insecta
GB41796	Insecta
GB41797	Insecta
GB41798	Insecta
GB41799	NA
GB41800	Insecta
GB41801	Insecta
GB41802	Hymenoptera
GB41803	Insecta
GB41804	Insecta
GB41806	Insecta
GB41807	Insecta
GB41808	Insecta
GB41809	Insecta
GB41810	Insecta
GB41811	Insecta
GB41813	NA
GB41815	Insecta
GB41818	Insecta
GB41821	Insecta
GB41822	Insecta
GB41823	Insecta
GB41824	Insecta
GB41825	Insecta
GB41827	Insecta
GB41829	Insecta
GB41831	Insecta
GB41834	Insecta
GB41835	Insecta
GB41836	Insecta
GB41837	Apis
GB41838	Apoidea
GB41839	Insecta
GB41840	Insecta
GB41841	Insecta
GB41842	Insecta
GB41843	Insecta
GB41844	Insecta
GB41845	Insecta
GB41846	Insecta
GB41847	Insecta
GB41848	Insecta
GB41849	Insecta
GB41850	Insecta
GB41851	Apoidea
GB41852	Insecta
GB41853	NA
GB41854	NA
GB41855	Insecta
GB41856	Insecta
GB41857	Insecta
